,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
74,75.0,A,NIVEL,0.0388470432478346,358,24.860747728431,84.4033272600385,126.87249149945,108.327346670182,68.3404046345941,1.37764722222222,-60.4624302875574,03/2017,Patrimoñales y Mixta
75,76.0,A,NOBLE,0.0556228470413958,983,30.6740250392015,105.511528531601,105.511528531601,91.353125222091,56.5820932394604,86.1325699709286,23.0106715743745,03/2017,Patrimoñales y Mixta
76,77.0,A,NORTE,0.485668672494474,818,45.4462014375309,161.98406678311,163.201566687409,98.2539322847624,50.6440560194545,109.125270841948,22.3414424319212,03/2017,Patrimoñales y Mixta
77,78.0,C,NUEVA,0.202245863932428,1912,26.4593552640537,84.050901729994,84.050901729994,110.423027450958,43.845567691627,59.648058527335,32.6110042707079,03/2017,Patrimoñales y Mixta
78,79.0,A,OPCION,0.250078636436785,1,25.1800790301047,213.715921046256,213.715921046256,209.944762494941,65.8168126499949,83.9840295505938,33.4103868167309,03/2017,Patrimoñales y Mixta
79,80.0,A,ORBIS,0.834752596321455,4160,59.8447247294948,95.1515301437405,121.276484263197,67.192615627249,33.8762126842057,18.9759754219858,13.7262174741504,03/2017,Patrimoñales y Mixta
80,81.0,A,ORIGENES,0.244269418586007,4,17.4737530467278,481.015522281448,481.015522281448,281.16525509499,81.3691404030556,4.29414904384894,12.5510600814906,03/2017,Patrimoñales y Mixta
81,82.0,A,PARANÁ,0.617101036966709,5086,39.1655705882906,88.8150287867596,93.6930508923679,100.369941349646,38.6739816103088,16.5781031174891,7.75035025538913,03/2017,Patrimoñales y Mixta
82,83.0,A,PERSEVERANCIA,0.321535418584474,1634,28.5231495584215,115.042273658578,120.119754950877,100.714517049138,62.7421387171623,17.0025586661831,69.4853189007041,03/2017,Patrimoñales y Mixta
83,84.0,A,PREVINCA,0.0426158041045575,1,11.7778196347247,544.869557513577,0.0,0.0,69.5423122866622,143.045851932897,44.244815909005,03/2017,Patrimoñales y Mixta
84,85.0,C,PRODUCTORES DE FRUTAS,0.177316998339992,1688,72.1285470234245,31.6450767457943,31.6450767457943,30.0979083119749,18.1884551237862,-331.316530564525,11.3306858868066,03/2017,Patrimoñales y Mixta
85,86.0,A,PROGRESO,0.0852931070042959,1051,30.6051354625625,104.191469966292,195.210693326877,132.125200875377,65.338875984066,82.4097678230495,4.54938230439639,03/2017,Patrimoñales y Mixta
86,87.0,A,PROVINCIA,2.6421101074797,9775,32.9268521231831,107.773579552798,107.821378270783,89.4019433199208,65.3103042947464,-40.6682655293709,66.1457719553064,03/2017,Patrimoñales y Mixta
87,88.0,A,PRUDENCIA,0.144940465913158,1574,55.8813669892954,86.0754791934782,86.0754791934782,80.074399739752,30.7120235638671,12.2613053256358,3.75518162259249,03/2017,Patrimoñales y Mixta
88,89.0,A,QBE BUENOS AIRES,2.18212541842561,4704,38.7851770857661,128.231142060808,128.231142060808,90.8131678153791,57.3807036288808,16.8911444507954,7.89795954913439,03/2017,Patrimoñales y Mixta
89,90.0,A,QUALIA,0.255871571305086,0,10.8179954696909,820.766604706825,820.766604706825,820.759110575132,86.8269901383083,23.5578601458437,134.462370272286,03/2017,Patrimoñales y Mixta
90,91.0,C,RÍO URUGUAY,0.673266415351213,1278,57.331283982561,120.965858581187,183.041974032981,98.0826646099151,29.222139610148,107.370948818671,25.0416442445462,03/2017,Patrimoñales y Mixta
91,92.0,C,SAN CRISTÓBAL,2.98170769906549,6196,29.4546580524577,250.802207334588,250.802207334588,164.587316689757,65.9497653782432,262.415286040115,60.0209153618104,03/2017,Patrimoñales y Mixta
92,93.0,C,SANCOR,4.43536233417685,3257,28.3422817653751,219.191894316627,228.862163450467,179.053744798797,59.6674993089646,27.3541479638958,24.5189887143037,03/2017,Patrimoñales y Mixta
93,94.0,C,SEGUNDA,2.30785152933419,4542,31.5762333826144,195.837982682846,198.591468667583,147.437685141428,60.978459788327,227.992893727352,93.7515356910192,03/2017,Patrimoñales y Mixta
94,95.0,C,SEGURCOOP,0.313258420972175,1502,32.7379413292641,166.120179070459,168.639473323767,137.079694251882,64.2559013804715,102.399730823928,3.93816227431912,03/2017,Patrimoñales y Mixta
95,96.0,C,SEGUROMETAL,0.201451683824832,1249,29.6147682872694,157.997248290581,164.150043708362,134.879266750189,56.8662985860047,203.632635062047,165.822021777572,03/2017,Patrimoñales y Mixta
96,97.0,A,SEGUROS MÉDICOS,0.0423025885843308,3997,25.0901872831939,91.4086625556045,91.4086625556045,95.7103598359093,53.3259713998209,36.8365643197257,38.9034517144876,03/2017,Patrimoñales y Mixta
97,98.0,A,SMG,0.720226984985849,3067,39.3061589438537,64.5590924821295,139.546496257732,103.925512659531,56.530331850431,251.221742265329,9.52282824052115,03/2017,Patrimoñales y Mixta
98,99.0,A,SMSV,0.13225530365144,0,8.73063097743306,309.212051397231,309.212051397231,139.766626283571,88.9338993301867,13.2817311435878,9.0602305858213,03/2017,Patrimoñales y Mixta
99,100.0,A,SOL NACIENTE,0.159188170357547,15,40.5387042427441,590.494883674685,631.51392586228,185.047439273652,57.7491230683106,85.0960707973702,26.3664767828638,03/2017,Patrimoñales y Mixta
100,101.0,E,STARR,0.0126047167975194,0,29.0052126687701,0.0,0.0,752.023013727416,60.5003532706017,251.267422222222,2.18862588155341,03/2017,Patrimoñales y Mixta
101,102.0,C,SUMICLI,0.00173470501257554,0,13.7353306271056,0.0,0.0,0.0,55.1106657194663,289.706916666667,0.0,03/2017,Patrimoñales y Mixta
102,103.0,A,SUPERVIELLE,0.292313626306611,1,24.87597181386,460.361890476244,460.361890476244,491.290164487342,68.9036408810503,119.220161631882,17.5370161845349,03/2017,Patrimoñales y Mixta
103,104.0,A,SURA,2.15129058229034,5749,48.8195824238368,132.311842603096,132.460321055,86.1941178484601,47.7339947780238,28.6533343485295,20.5397842900206,03/2017,Patrimoñales y Mixta
104,105.0,A,SURCO,0.0791840310055606,408,28.4326240425117,167.129736050331,188.599242928249,179.762325141832,61.0201981604515,51.6365111111111,0.0,03/2017,Patrimoñales y Mixta
105,106.0,A,TESTIMONIO,0.0836944193556848,37,33.0463386766983,215.977640134078,216.97190642253,118.881467327964,57.6740205562359,50.9652963877997,221.619835497017,03/2017,Patrimoñales y Mixta
106,107.0,A,TPC,0.0481007340070245,1839,58.911073945859,64.4096497829358,64.4096497829358,79.3020590161126,24.9945091141874,6.93964545454545,7.11591677874827,03/2017,Patrimoñales y Mixta
