,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría,% Mercado
37,6.0,A,GALICIA RETIRO,2.72500505821794e-05,11.0,3.67361382657273,0.0,0.0,135.16870547725347,95.6502148873575,31.5444433333333,368.646470701484,2017-12,Seguros de Retiro,0.0
38,7.0,A,HSBC RETIRO,0.0401120905611007,0.0,3.02918328832734,0.0,0.0,119.41669694566805,96.9035408646531,215.111102714544,25.5258733141969,2017-12,Seguros de Retiro,2.35
39,8.0,A,INST. ENTRE RÍOS RETIRO,0.0190095033561187,4.0,0.751110707113542,0.0,0.0,133.58067077100114,87.2296777130968,162.282893333333,-55.0388256685998,2017-12,Seguros de Retiro,1.12
40,9.0,A,METLIFE  RETIRO,0.00334757534102096,595.0,5.95404240592198,0.0,0.0,125.84621408190233,93.9118848671937,268.714600066739,226.795510056978,2017-12,Seguros de Retiro,0.2
41,10.0,A,NACIÓN RETIRO,0.157058516652172,1045.0,1.36092654550301,0.0,0.0,119.692038103326,98.4674417056338,335.297864529815,83.4071536921792,2017-12,Seguros de Retiro,9.22
42,11.0,A,ORÍGENES RETIRO,0.162920409781137,2826.0,4.55221070333233,0.0,0.0,105.26310772819005,94.7103339511756,41.055536124576,136.41757816874,2017-12,Seguros de Retiro,9.56
43,12.0,A,PROYECCIÓN RETIRO,0.0,6.0,2.07842274143987,0.0,0.0,130.461812104295,97.0981708842909,277.86306,0.0,2017-12,Seguros de Retiro,0.0
44,13.0,A,SAN CRISTÓBAL RETIRO,0.0455931122818677,60.0,2.45516272517638,0.0,0.0,123.24342039369176,97.1316918017897,161.301017720087,124.334060808221,2017-12,Seguros de Retiro,2.68
45,14.0,A,SEGUNDA RETIRO,0.0781288327845342,2.0,1.92002243846894,0.0,0.0,111.74285660102315,97.1374946097674,178.374540276254,483.08078902698,2017-12,Seguros de Retiro,4.59
46,15.0,A,SMG RETIRO,0.00510941947967762,77.0,0.741594387262151,0.0,0.0,132.93230983780984,99.0716124233562,622.421872516739,177.38064119355,2017-12,Seguros de Retiro,0.3
47,16.0,A,ZURICH RETIRO,0.0,1.0,0.862431554817722,0.0,0.0,345.76023048541066,95.7235508073181,16.3547833333333,242.96782609734,2017-12,Seguros de Retiro,0.0
48,1.0,A,BINARIA RETIRO,0.017424547279644,50.0,1.40608599016879,0.0,0.0,115.930807293947,98.4581276052644,227.909347812682,651.283934604512,2017-09,Seguros de Retiro,1.03
49,2.0,A,CREDICOOP RETIRO,0.0119486556726113,32.0,4.93438244908485,0.0,0.0,117.881303768757,94.738457238177,225.622651128023,49.7222271572945,2017-09,Seguros de Retiro,0.71
50,3.0,A,ESTRELLA RETIRO,1.21308706300167,56.0,0.91184476796159,0.0,0.0,106.008703752153,98.4632437556535,35.1483891290626,0.0,2017-09,Seguros de Retiro,72.03
51,4.0,A,EXPERTA RETIRO,0.0,7.0,2.06801904033145,0.0,0.0,143.297950836356,97.4306480974234,-36.65115,102.759444767844,2017-09,Seguros de Retiro,0.0
52,5.0,A,FED. PATRONAL RETIRO,0.000322937146101843,1.0,4.93640886500778,0.0,0.0,978.652256847824,93.6837320262898,4.11709333333333,0.0,2017-09,Seguros de Retiro,0.02
53,6.0,A,GALICIA RETIRO,2.78437156195737e-05,11.0,3.38725549542086,0.0,0.0,135.663448060508,95.8750248127472,29.35485,98.3989331280834,2017-09,Seguros de Retiro,0.0
54,7.0,A,HSBC RETIRO,0.034500494237036,0.0,2.45968280894456,0.0,0.0,120.095410731791,97.4483128440632,326.882374397051,41.0344685286095,2017-09,Seguros de Retiro,2.05
55,8.0,A,INST. ENTRE RÍOS RETIRO,0.0196245779744837,5.0,1.31062153572429,0.0,0.0,134.749228877736,85.614471554888,139.691783333333,47.7515112490303,2017-09,Seguros de Retiro,1.17
56,9.0,A,METLIFE  RETIRO,0.00318679848852435,597.0,8.58283059440755,0.0,0.0,128.261228747982,91.1502401139384,275.928668611996,134.78058828483,2017-09,Seguros de Retiro,0.19
57,10.0,A,NACIÓN RETIRO,0.145441460582835,1221.0,1.96161152409788,0.0,0.0,118.854050086045,97.9440324299538,334.205326601806,79.9249253545774,2017-09,Seguros de Retiro,8.64
58,11.0,A,ORÍGENES RETIRO,0.100970281023247,2799.0,3.2611360960413,0.0,0.0,106.128482218797,96.1184798420449,48.780181700301,123.900585552975,2017-09,Seguros de Retiro,6.0
59,12.0,A,PROYECCIÓN RETIRO,0.0,6.0,2.23126724854566,0.0,0.0,130.634321380241,96.8599281583951,262.448243333333,0.0,2017-09,Seguros de Retiro,0.0
60,13.0,A,SAN CRISTÓBAL RETIRO,0.0457363994959943,63.0,3.13592936448527,0.0,0.0,124.595389946925,96.0336116755162,205.465335353444,130.293958329733,2017-09,Seguros de Retiro,2.72
